electorate,state,age_gender,count,prop
Banks,NSW,0-9_years_Male,9121,0.06173140308487814
Barton,NSW,0-9_years_Male,8942,0.06293903177217507
Bennelong,NSW,0-9_years_Male,8718,0.05862062009561657
Berowra,NSW,0-9_years_Male,8480,0.06455394593607028
Blaxland,NSW,0-9_years_Male,12812,0.080878221840655
Bradfield,NSW,0-9_years_Male,9271,0.06479365412167593
Calare,NSW,0-9_years_Male,10458,0.07196234672391726
Charlton,NSW,0-9_years_Male,8370,0.06387703860859478
Chifley,NSW,0-9_years_Male,13910,0.08363395863395863
Cook,NSW,0-9_years_Male,8970,0.06517284973189764
Cowper,NSW,0-9_years_Male,8404,0.062325719371106494
Cunningham,NSW,0-9_years_Male,9048,0.062498273146741085
Dobell,NSW,0-9_years_Male,9696,0.07023694828572877
Eden-Monaro,NSW,0-9_years_Male,8377,0.06188042016930873
Farrer,NSW,0-9_years_Male,8514,0.06305872593821518
Fowler,NSW,0-9_years_Male,10787,0.07240860821351376
Gilmore,NSW,0-9_years_Male,8123,0.0609775322228311
Grayndler,NSW,0-9_years_Male,8674,0.05891342294186765
Greenway,NSW,0-9_years_Male,12747,0.08237848736889045
Hughes,NSW,0-9_years_Male,10176,0.07181977302241545
Hume,NSW,0-9_years_Male,9547,0.06860842819362999
Hunter,NSW,0-9_years_Male,10334,0.07466655106140084
Kingsford Smith,NSW,0-9_years_Male,8986,0.05705505501692096
Lindsay,NSW,0-9_years_Male,11286,0.07575869452853873
Lyne,NSW,0-9_years_Male,7426,0.0582746741373763
Macarthur,NSW,0-9_years_Male,11024,0.07847045257178652
Mackellar,NSW,0-9_years_Male,9748,0.06978858668804902
Macquarie,NSW,0-9_years_Male,9313,0.0673849181656368
McMahon,NSW,0-9_years_Male,9783,0.06819892922871006
Mitchell,NSW,0-9_years_Male,10393,0.07532087286114957
New England,NSW,0-9_years_Male,9879,0.06818840679744337
Newcastle,NSW,0-9_years_Male,7822,0.059155398251504974
North Sydney,NSW,0-9_years_Male,9023,0.0609275190081975
Page,NSW,0-9_years_Male,8259,0.0621449371327098
Parkes,NSW,0-9_years_Male,11446,0.0758399978797135
Parramatta,NSW,0-9_years_Male,11366,0.06903379412550716
Paterson,NSW,0-9_years_Male,8102,0.06331121894804291
Reid,NSW,0-9_years_Male,10360,0.062231192484201926
Richmond,NSW,0-9_years_Male,8065,0.060189711402834474
Riverina,NSW,0-9_years_Male,10463,0.07214568422213948
Robertson,NSW,0-9_years_Male,8220,0.06093402520385471
Shortland,NSW,0-9_years_Male,7919,0.061938319789132834
Sydney,NSW,0-9_years_Male,6261,0.03667945751193649
Throsby,NSW,0-9_years_Male,8575,0.06426927890993307
Warringah,NSW,0-9_years_Male,9866,0.06720250664123698
Watson,NSW,0-9_years_Male,11812,0.07308320546453496
Wentworth,NSW,0-9_years_Male,8012,0.05101722436244389
Werriwa,NSW,0-9_years_Male,11681,0.0787644214884392
Aston,Vic,0-9_years_Male,7995,0.061303357691098556
Ballarat,Vic,0-9_years_Male,9383,0.06639118652222828
Batman,Vic,0-9_years_Male,8259,0.060514361078546304
Bendigo,Vic,0-9_years_Male,8987,0.06391210041602959
Bruce,Vic,0-9_years_Male,7752,0.05729998226006741
Calwell,Vic,0-9_years_Male,12893,0.07695154195539163
Casey,Vic,0-9_years_Male,8601,0.06535366659828125
Chisholm,Vic,0-9_years_Male,7450,0.05334116147694158
Corangamite,Vic,0-9_years_Male,9318,0.0659494656380494
Corio,Vic,0-9_years_Male,8396,0.06372385318315675
Deakin,Vic,0-9_years_Male,8259,0.06520503386966889
Dunkley,Vic,0-9_years_Male,8791,0.0632723713284247
Flinders,Vic,0-9_years_Male,8615,0.06114786213162228
Gellibrand,Vic,0-9_years_Male,9381,0.0630337644884932
Gippsland,Vic,0-9_years_Male,8665,0.06275074953289979
Goldstein,Vic,0-9_years_Male,8742,0.0648949595427214
Gorton,Vic,0-9_years_Male,14553,0.07678913459864183
Higgins,Vic,0-9_years_Male,6879,0.05207339782895035
Holt,Vic,0-9_years_Male,15459,0.08128059392301504
Hotham,Vic,0-9_years_Male,8303,0.062108223748186045
Indi,Vic,0-9_years_Male,8093,0.0631210320245839
Isaacs,Vic,0-9_years_Male,10593,0.06790471672713752
Jagajaga,Vic,0-9_years_Male,8256,0.06369878867371345
Kooyong,Vic,0-9_years_Male,6926,0.053509070119595784
La Trobe,Vic,0-9_years_Male,10398,0.07126994571475571
Lalor,Vic,0-9_years_Male,18248,0.0838992363183279
Mallee,Vic,0-9_years_Male,8376,0.0653532555689931
Maribyrnong,Vic,0-9_years_Male,7468,0.05789102410058837
McEwen,Vic,0-9_years_Male,13976,0.07696035242290748
McMillan,Vic,0-9_years_Male,9689,0.07007203193705161
Melbourne,Vic,0-9_years_Male,7199,0.04052737948466783
Melbourne Ports,Vic,0-9_years_Male,7125,0.04653061224489796
Menzies,Vic,0-9_years_Male,6661,0.0545067714086985
Murray,Vic,0-9_years_Male,8770,0.06742056750128768
Scullin,Vic,0-9_years_Male,8407,0.06366334984173141
Wannon,Vic,0-9_years_Male,7966,0.06277086977763069
Wills,Vic,0-9_years_Male,9129,0.06071549711686187
Blair,Qld,0-9_years_Male,10519,0.07731886774423545
Bonner,Qld,0-9_years_Male,9578,0.0678467957300012
Bowman,Qld,0-9_years_Male,9268,0.06683396792431061
Brisbane,Qld,0-9_years_Male,7372,0.05081929920103679
Capricornia,Qld,0-9_years_Male,10999,0.0746165378849037
Dawson,Qld,0-9_years_Male,10469,0.06909683721421406
Dickson,Qld,0-9_years_Male,10561,0.07720593610644053
Fadden,Qld,0-9_years_Male,9875,0.06764439938623411
Fairfax,Qld,0-9_years_Male,8692,0.06584748715928547
Fisher,Qld,0-9_years_Male,7730,0.06173036686844165
Flynn,Qld,0-9_years_Male,11689,0.07892373653826677
Forde,Qld,0-9_years_Male,11599,0.0800234571734106
Griffith,Qld,0-9_years_Male,8316,0.05830797492672939
Groom,Qld,0-9_years_Male,10013,0.07172481966719912
Herbert,Qld,0-9_years_Male,10870,0.07286206480500851
Hinkler,Qld,0-9_years_Male,8610,0.06395068147212835
Kennedy,Qld,0-9_years_Male,11570,0.07458982045579086
Leichhardt,Qld,0-9_years_Male,12547,0.07732460681358773
Lilley,Qld,0-9_years_Male,9256,0.0635561506505991
Longman,Qld,0-9_years_Male,10634,0.07501834189288334
Maranoa,Qld,0-9_years_Male,11207,0.0758028732988826
McPherson,Qld,0-9_years_Male,8828,0.06257398232221206
Moncrieff,Qld,0-9_years_Male,7342,0.04970617705202156
Moreton,Qld,0-9_years_Male,9009,0.06171985256840634
Oxley,Qld,0-9_years_Male,11853,0.08201235755256803
Petrie,Qld,0-9_years_Male,10025,0.07181849442645499
Rankin,Qld,0-9_years_Male,13706,0.08164991689651681
Ryan,Qld,0-9_years_Male,9171,0.06193315730117032
Wide Bay,Qld,0-9_years_Male,8614,0.06347218026276039
Wright,Qld,0-9_years_Male,10459,0.07605660432240612
Adelaide,SA,0-9_years_Male,7657,0.05103986135181976
Barker,SA,0-9_years_Male,9705,0.06540903392777711
Boothby,SA,0-9_years_Male,7408,0.05523041251332672
Grey,SA,0-9_years_Male,9304,0.06425547490624806
Hindmarsh,SA,0-9_years_Male,6771,0.04918390028111312
Kingston,SA,0-9_years_Male,10003,0.067059068024429
Makin,SA,0-9_years_Male,8118,0.06101649053710747
Mayo,SA,0-9_years_Male,8514,0.06096932199020366
Port Adelaide,SA,0-9_years_Male,10076,0.06289284621962561
Sturt,SA,0-9_years_Male,7679,0.05476550464996862
Wakefield,SA,0-9_years_Male,11711,0.07496143432313236
Brand,WA,0-9_years_Male,12150,0.07801013168623876
Canning,WA,0-9_years_Male,10229,0.0693449213268343
Cowan,WA,0-9_years_Male,10564,0.07417237142355626
Curtin,WA,0-9_years_Male,8005,0.05778114623935326
Durack,WA,0-9_years_Male,13323,0.07517095849601661
Forrest,WA,0-9_years_Male,9996,0.07169034590089864
Fremantle,WA,0-9_years_Male,9693,0.06712046090352602
Hasluck,WA,0-9_years_Male,10283,0.06886229549913947
Moore,WA,0-9_years_Male,9909,0.06860098031070865
O'Connor,WA,0-9_years_Male,10975,0.07297886771374995
Pearce,WA,0-9_years_Male,11944,0.07759824845212804
Perth,WA,0-9_years_Male,7839,0.05403933517623621
Stirling,WA,0-9_years_Male,8722,0.06143118749119594
