Division,State,ALP,LP,LNQ,GRN,NP,OTH,ALP_2PP,LNP_2PP
Adelaide,SA,43.89,37.57,0.00,13.69,0.00,4.85,57.69,42.31
Aston,VIC,38.58,46.85,0.00,9.67,0.00,4.90,48.24,51.76
Ballarat,VIC,51.75,33.95,0.00,11.34,0.00,2.96,61.70,38.30
Banks,NSW,42.96,45.52,0.00,9.61,0.00,1.91,51.45,48.55
Barker,SA,28.04,54.96,0.00,9.13,0.00,7.87,37.12,62.88
Barton,NSW,48.48,40.67,0.00,10.85,0.00,0.00,56.86,43.14
Bass,TAS,43.43,39.71,0.00,15.58,0.00,1.28,56.74,43.26
Batman,VIC,52.38,19.90,0.00,23.48,0.00,4.24,74.91,25.09
Bendigo,VIC,47.65,35.84,0.00,12.29,0.00,4.22,59.53,40.47
Bennelong,NSW,37.12,48.53,0.00,7.95,0.00,6.40,46.88,53.12
Berowra,NSW,22.05,59.98,0.00,11.39,0.00,6.58,33.80,66.20
Blair,QLD,42.08,0.00,37.50,11.06,0.00,9.36,54.24,45.76
Blaxland,NSW,50.98,33.30,0.00,6.26,0.00,9.46,62.23,37.77
Bonner,QLD,36.07,0.00,46.38,11.18,0.00,6.37,47.18,52.82
Boothby,SA,35.75,44.81,0.00,13.24,0.00,6.20,49.25,50.75
Bowman,QLD,30.17,0.00,55.63,9.97,0.00,4.23,39.61,60.39
Braddon,TAS,48.68,39.35,0.00,11.96,0.00,0.01,57.48,42.52
Bradfield,NSW,19.22,64.45,0.00,16.34,0.00,0.00,31.82,68.18
Brand,WA,40.80,39.38,0.00,14.74,0.00,5.08,53.33,46.67
Brisbane,QLD,30.38,0.00,45.89,21.28,0.00,2.45,48.87,51.13
Bruce,VIC,49.24,37.24,0.00,9.41,0.00,4.11,58.12,41.88
Calare,NSW,29.05,0.00,0.00,6.00,52.41,12.54,39.26,60.74
Calwell,VIC,56.63,25.76,0.00,11.86,0.00,5.75,69.72,30.28
Canberra,ACT,44.23,37.21,0.00,18.56,0.00,0.00,59.15,40.85
Canning,WA,40.35,46.18,0.00,8.29,0.00,5.18,47.81,52.19
Capricornia,QLD,45.77,0.00,40.42,5.52,0.00,8.29,53.68,46.32
Casey,VIC,35.24,48.38,0.00,11.52,0.00,4.86,45.82,54.18
Charlton,NSW,53.15,30.71,0.00,8.83,0.00,7.31,62.67,37.33
Chifley,NSW,51.58,30.32,0.00,8.43,0.00,9.67,62.34,37.66
Chisholm,VIC,44.53,40.15,0.00,11.87,0.00,3.45,56.11,43.89
Cook,NSW,28.81,57.88,0.00,7.73,0.00,5.58,37.34,62.66
Corangamite,VIC,39.53,44.99,0.00,11.43,0.00,4.05,50.41,49.59
Corio,VIC,51.51,31.13,0.00,12.53,0.00,4.83,64.22,35.78
Cowan,WA,32.45,50.06,0.00,12.53,0.00,4.96,43.71,56.29
Cowper,NSW,27.82,0.00,0.00,9.09,50.77,12.32,40.73,59.27
Cunningham,NSW,49.17,32.85,0.00,15.12,0.00,2.86,63.17,36.83
Curtin,WA,19.27,61.13,0.00,17.72,0.00,1.88,33.81,66.19
Dawson,QLD,40.04,0.00,45.74,7.72,0.00,6.50,47.57,52.43
Deakin,VIC,39.93,41.94,0.00,12.92,0.00,5.21,52.41,47.59
Denison,TAS,35.79,22.65,0.00,18.98,0.00,22.58,65.82,34.18
Dickson,QLD,33.47,0.00,48.96,10.91,0.00,6.66,44.87,55.13
Dobell,NSW,46.27,40.24,0.00,8.61,0.00,4.88,55.07,44.93
Dunkley,VIC,38.33,47.32,0.00,11.69,0.00,2.66,48.98,51.02
Durack,WA,24.03,45.07,0.00,9.25,17.70,3.95,36.33,63.67
Eden-Monaro,NSW,43.61,41.84,0.00,9.72,0.00,4.83,54.24,45.76
Fadden,QLD,27.33,0.00,58.33,9.33,0.00,5.01,35.81,64.19
Fairfax,QLD,27.31,0.00,49.45,18.00,0.00,5.24,43.05,56.95
Farrer,NSW,25.29,51.41,0.00,5.88,0.00,17.42,35.49,64.51
Fisher,QLD,30.32,0.00,46.48,15.84,0.00,7.36,45.87,54.13
Flinders,VIC,31.76,54.30,0.00,11.50,0.00,2.44,40.89,59.11
Flynn,QLD,39.92,0.00,47.04,3.96,0.00,9.08,46.42,53.58
Forde,QLD,37.39,0.00,44.08,12.22,0.00,6.31,48.37,51.63
Forrest,WA,28.19,48.96,0.00,13.48,5.98,3.39,41.26,58.74
Fowler,NSW,52.86,36.94,0.00,6.69,0.00,3.51,58.76,41.24
Franklin,TAS,42.85,33.48,0.00,20.87,0.00,2.80,60.82,39.18
Fraser,ACT,45.81,32.41,0.00,19.84,0.00,1.94,64.20,35.80
Fremantle,WA,38.94,38.57,0.00,17.65,0.00,4.84,55.70,44.30
Gellibrand,VIC,58.81,22.90,0.00,15.35,0.00,2.94,73.90,26.10
Gilmore,NSW,35.18,50.93,0.00,9.57,0.00,4.32,44.68,55.32
Gippsland,VIC,31.57,0.00,0.00,6.57,53.00,8.86,38.55,61.45
Goldstein,VIC,29.83,52.55,0.00,16.21,0.00,1.41,43.53,56.47
Gorton,VIC,59.98,23.59,0.00,10.15,0.00,6.28,72.16,27.84
Grayndler,NSW,46.09,24.24,0.00,25.90,0.00,3.77,70.63,29.37
Greenway,NSW,42.32,41.34,0.00,6.01,0.00,10.33,50.88,49.12
Grey,SA,31.09,55.78,0.00,7.77,0.00,5.36,38.84,61.16
Griffith,QLD,44.08,0.00,35.80,15.39,0.00,4.73,58.46,41.54
Groom,QLD,22.67,0.00,61.25,7.30,0.00,8.78,31.47,68.53
Hasluck,WA,37.53,41.99,0.00,12.78,0.00,7.70,49.43,50.57
Herbert,QLD,40.15,0.00,45.67,8.85,0.00,5.33,47.83,52.17
Higgins,VIC,27.91,51.74,0.00,17.90,0.00,2.45,43.25,56.75
Hindmarsh,SA,44.54,39.04,0.00,12.07,0.00,4.35,55.70,44.30
Hinkler,QLD,32.50,0.00,54.95,5.71,0.00,6.84,39.61,60.39
Holt,VIC,54.42,30.62,0.00,9.15,0.00,5.81,63.23,36.77
Hotham,VIC,54.08,32.90,0.00,10.19,0.00,2.83,63.50,36.50
Hughes,NSW,37.78,49.15,0.00,6.29,0.00,6.78,44.83,55.17
Hume,NSW,31.86,53.56,0.00,7.65,0.00,6.93,41.28,58.72
Hunter,NSW,54.31,0.00,0.00,8.92,31.05,5.72,62.48,37.52
Indi,VIC,27.20,52.62,0.00,9.45,0.00,10.73,40.06,59.94
Isaacs,VIC,49.42,34.47,0.00,10.93,0.00,5.18,61.02,38.98
Jagajaga,VIC,47.34,34.61,0.00,14.95,0.00,3.10,61.52,38.48
Kennedy,QLD,20.21,0.00,26.60,4.49,0.00,48.70,38.06,61.94
Kingsford Smith,NSW,43.83,41.25,0.00,12.05,0.00,2.87,55.16,44.84
Kingston,SA,51.05,29.02,0.00,12.27,0.00,7.66,63.91,36.09
Kooyong,VIC,27.39,52.56,0.00,18.48,0.00,1.57,42.45,57.55
La Trobe,VIC,38.17,43.88,0.00,12.28,0.00,5.67,50.91,49.09
Lalor,VIC,64.25,23.06,0.00,6.83,0.00,5.86,72.15,27.85
Leichhardt,QLD,34.66,0.00,47.40,9.06,0.00,8.88,45.45,54.55
Lilley,QLD,41.09,0.00,41.22,12.17,0.00,5.52,53.18,46.82
Lindsay,NSW,44.55,43.39,0.00,4.74,0.00,7.32,51.12,48.88
Lingiari,NT,40.08,0.00,0.00,12.59,0.00,47.33,53.70,46.30
Longman,QLD,37.64,0.00,43.75,9.12,0.00,9.49,48.08,51.92
Lyne,NSW,13.49,0.00,0.00,4.29,34.39,47.83,37.55,62.45
Lyons,TAS,48.91,32.69,0.00,16.75,0.00,1.65,62.29,37.71
Macarthur,NSW,38.55,47.40,0.00,5.56,0.00,8.49,46.98,53.02
Mackellar,NSW,21.10,62.12,0.00,16.77,0.00,0.01,34.28,65.72
