Division,State,ALP,LP,LNP,NP,CLP,OTH,ALP_2PP,LNP_2PP
Adelaide,SA,42.26,42.06,0.00,0.00,0.00,15.68,53.95,46.05
Aston,VIC,32.63,51.59,0.00,0.00,0.00,15.78,41.80,58.20
Ballarat,VIC,41.91,38.00,0.00,0.00,0.00,20.09,54.89,45.11
Banks,NSW,41.04,47.01,0.00,0.00,0.00,11.95,48.17,51.83
Barker,SA,18.37,52.61,0.00,4.35,0.00,24.67,33.45,66.55
Barton,NSW,40.43,42.35,0.00,0.00,0.00,17.22,49.69,50.31
Bass,TAS,34.65,47.85,0.00,0.00,0.00,17.50,45.96,54.04
Batman,VIC,41.29,22.46,0.00,0.00,0.00,36.25,70.98,29.02
Bendigo,VIC,36.56,39.67,0.00,5.02,0.00,18.75,51.26,48.74
Bennelong,NSW,32.45,52.99,0.00,0.00,0.00,14.56,42.23,57.77
Berowra,NSW,18.93,61.44,0.00,0.00,0.00,19.63,30.93,69.07
Blair,QLD,41.55,0.00,33.85,0.00,0.00,24.60,55.26,44.74
Blaxland,NSW,55.73,32.72,0.00,0.00,0.00,11.55,61.43,38.57
Bonner,QLD,36.01,0.00,46.80,0.00,0.00,17.19,46.31,53.69
Boothby,SA,30.77,50.35,0.00,0.00,0.00,18.88,42.88,57.12
Bowman,QLD,29.88,0.00,49.28,0.00,0.00,20.84,41.14,58.86
Braddon,TAS,37.59,46.86,0.00,0.00,0.00,15.55,47.44,52.56
Bradfield,NSW,16.60,64.84,0.00,0.00,0.00,18.56,29.22,70.78
Brand,WA,40.39,38.71,0.00,0.00,0.00,20.90,52.88,47.12
Brisbane,QLD,30.12,0.00,47.99,0.00,0.00,21.89,45.72,54.28
Bruce,VIC,41.90,42.96,0.00,0.00,0.00,15.14,51.80,48.20
Calare,NSW,25.39,0.00,0.00,57.65,0.00,16.96,34.03,65.97
Calwell,VIC,49.81,28.49,0.00,0.00,0.00,21.70,63.86,36.14
Canberra,ACT,41.06,37.87,0.00,0.00,0.00,21.07,56.98,43.02
Canning,WA,26.64,51.07,0.00,1.93,0.00,20.36,38.19,61.81
Capricornia,QLD,37.04,0.00,39.58,0.00,0.00,23.38,49.23,50.77
Casey,VIC,27.85,49.18,0.00,0.00,0.00,22.97,42.83,57.17
Charlton,NSW,46.44,28.53,0.00,0.00,0.00,25.03,59.23,40.77
Chifley,NSW,52.30,32.17,0.00,0.00,0.00,15.53,60.55,39.45
Chisholm,VIC,39.50,44.12,0.00,0.00,0.00,16.38,51.60,48.40
Cook,NSW,24.76,60.35,0.00,0.00,0.00,14.89,33.65,66.35
Corangamite,VIC,32.03,48.25,0.00,0.64,0.00,19.08,46.06,53.94
Corio,VIC,43.51,35.20,0.00,0.00,0.00,21.29,57.75,42.25
Cowan,WA,32.29,49.59,0.00,0.00,0.00,18.12,42.54,57.46
Cowper,NSW,25.37,0.00,0.00,53.05,0.00,21.58,38.29,61.71
Cunningham,NSW,45.54,33.65,0.00,0.00,0.00,20.81,59.88,40.12
Curtin,WA,17.91,62.06,0.00,0.00,0.00,20.03,32.58,67.42
Dawson,QLD,29.71,0.00,46.23,0.00,0.00,24.06,42.42,57.58
Deakin,VIC,32.73,45.88,0.00,0.00,0.00,21.39,46.82,53.18
Denison,TAS,24.75,23.23,0.00,0.00,0.00,52.02,58.91,41.09
Dickson,QLD,31.32,0.00,48.01,0.00,0.00,20.67,43.28,56.72
Dobell,NSW,35.11,41.35,0.00,0.00,0.00,23.54,49.32,50.68
Dunkley,VIC,30.88,48.75,0.00,0.00,0.00,20.37,44.43,55.57
Durack,WA,20.28,38.01,0.00,23.16,0.00,18.55,35.12,64.88
Eden-Monaro,NSW,38.78,45.27,0.00,0.00,0.00,15.95,49.39,50.61
Fadden,QLD,22.22,0.00,53.61,0.00,0.00,24.17,35.64,64.36
Fairfax,QLD,18.24,0.00,41.32,0.00,0.00,40.44,38.32,61.68
