id,electorate,state,party,age,gender,age_range
3203991,Canberra,ACT,ALP,43,Female,40-49
3210858,Canberra,ACT,ALP,61,Male,60-69
3336161,Canberra,ACT,Other,52,Male,50-59
3524779,Canberra,ACT,LNP,69,Female,60-69
3527491,Canberra,ACT,Other,61,Female,60-69
3685033,Canberra,ACT,ALP,20,Female,20-29
4080595,Canberra,ACT,LNP,50,Female,50-59
4302622,Canberra,ACT,LNP,62,Female,60-69
4766943,Canberra,ACT,LNP,72,Female,70-79
5067946,Canberra,ACT,LNP,79,Female,70-79
5245193,Canberra,ACT,ALP,28,Female,20-29
5278308,Canberra,ACT,ALP,40,Male,40-49
5772381,Canberra,ACT,ALP,64,Male,60-69
5775413,Canberra,ACT,ALP,70,Male,70-79
6239858,Canberra,ACT,Other,64,Male,60-69
6276166,Canberra,ACT,LNP,20,Male,20-29
6320616,Canberra,NSW,LNP,51,Male,50-59
6487438,Canberra,ACT,ALP,55,Male,50-59
6757039,Canberra,ACT,LNP,59,Female,50-59
6790582,Canberra,ACT,ALP,46,Female,40-49
7185360,Canberra,ACT,ALP,43,Male,40-49
7264621,Canberra,ACT,ALP,66,Female,60-69
7623823,Canberra,ACT,LNP,52,Female,50-59
8496013,Canberra,ACT,LNP,78,Female,70-79
8851511,Canberra,ACT,LNP,20,Female,20-29
9469292,Canberra,ACT,ALP,49,Male,40-49
9864701,Canberra,ACT,LNP,52,Female,50-59
3321532,Fraser,ACT,ALP,68,Male,60-69
3641795,Fraser,ACT,Other,61,Female,60-69
3670682,Fraser,ACT,LNP,47,Female,40-49
4255451,Fraser,ACT,LNP,52,Female,50-59
4266788,Fraser,ACT,LNP,63,Female,60-69
4790088,Fraser,ACT,ALP,44,Female,40-49
4847125,Fraser,ACT,ALP,23,Male,20-29
5317999,Fraser,ACT,ALP,77,Male,70-79
5433649,Fraser,ACT,LNP,54,Male,50-59
5864638,Fraser,ACT,ALP,74,Female,70-79
5887855,Fraser,ACT,LNP,50,Male,50-59
5992599,Fraser,ACT,ALP,57,Male,50-59
6012897,Fraser,NT,ALP,36,Female,30-39
6027042,Fraser,ACT,ALP,26,Female,20-29
6154742,Fraser,ACT,ALP,26,Male,20-29
6262064,Fraser,ACT,ALP,26,Female,20-29
6789941,Fraser,ACT,ALP,47,Female,40-49
7029468,Fraser,ACT,Other,48,Male,40-49
7267245,Fraser,ACT,ALP,21,Female,20-29
8044163,Fraser,ACT,Other,67,Female,60-69
8161259,Fraser,ACT,LNP,40,Male,40-49
8683908,Fraser,ACT,ALP,39,Female,30-39
9192740,Fraser,ACT,ALP,99,Female,90-99
9195293,Fraser,ACT,ALP,32,Female,30-39
9405805,Fraser,ACT,ALP,44,Male,40-49
9626853,Fraser,ACT,LNP,38,Male,30-39
9655802,Fraser,ACT,ALP,39,Male,30-39
9850173,Fraser,ACT,ALP,29,Female,20-29
9872391,Fraser,ACT,ALP,61,Female,60-69
3281585,Banks,NSW,LNP,53,Female,50-59
3378767,Banks,NSW,LNP,69,Female,60-69
3395061,Banks,NSW,LNP,43,Female,40-49
3718640,Banks,NSW,ALP,35,Female,30-39
3796976,Banks,NSW,LNP,39,Female,30-39
3832909,Banks,NSW,LNP,48,Female,40-49
4480573,Banks,NSW,LNP,57,Male,50-59
4773141,Banks,NSW,Other,66,Male,60-69
4817504,Banks,NSW,LNP,60,Male,60-69
4916675,Banks,NSW,LNP,47,Male,40-49
4950690,Banks,NSW,ALP,56,Male,50-59
5810090,Banks,NSW,ALP,73,Male,70-79
6130901,Banks,NSW,LNP,62,Female,60-69
6360902,Banks,NSW,Other,56,Female,50-59
6889637,Banks,NSW,ALP,58,Male,50-59
7173774,Banks,NSW,ALP,66,Female,60-69
7839734,Banks,NSW,LNP,75,Male,70-79
8125977,Banks,NSW,ALP,71,Male,70-79
8149041,Banks,NSW,LNP,61,Male,60-69
8295748,Banks,NSW,ALP,81,Male,80-89
8296051,Banks,NSW,LNP,62,Male,60-69
8497548,Banks,NSW,LNP,35,Female,30-39
9022283,Banks,NSW,LNP,60,Male,60-69
9622928,Banks,NSW,LNP,36,Male,30-39
9674925,Banks,NSW,LNP,76,Female,70-79
3300635,Barton,NSW,LNP,56,Female,50-59
3504292,Barton,NSW,Other,65,Female,60-69
3791374,Barton,NSW,LNP,61,Male,60-69
3882285,Barton,NSW,LNP,57,Female,50-59
3885362,Barton,NSW,Other,29,Male,20-29
4267803,Barton,NSW,ALP,36,Male,30-39
4401757,Barton,NSW,ALP,70,Female,70-79
4504067,Barton,NSW,LNP,39,Female,30-39
4603325,Barton,NSW,ALP,80,Female,80-89
4981069,Barton,NSW,ALP,62,Male,60-69
5107412,Barton,NSW,ALP,37,Female,30-39
5234043,Barton,NSW,ALP,23,Male,20-29
5529528,Barton,NSW,ALP,52,Female,50-59
6407569,Barton,NSW,Other,42,Female,40-49
6910783,Barton,NSW,ALP,27,Male,20-29
7200502,Barton,NSW,Other,56,Female,50-59
7358593,Barton,NSW,Other,41,Male,40-49
7388551,Barton,NSW,Other,68,Male,60-69
7867739,Barton,NSW,ALP,53,Female,50-59
8197284,Barton,NSW,ALP,41,Male,40-49
8423529,Barton,NSW,Other,53,Female,50-59
9846900,Barton,NSW,ALP,63,Male,60-69
3469366,Bennelong,NSW,LNP,88,Female,80-89
3976745,Bennelong,NSW,ALP,80,Female,80-89
4160847,Bennelong,NSW,Other,94,Male,90-99
4461914,Bennelong,NSW,Other,37,Male,30-39
4836244,Bennelong,NSW,Other,84,Female,80-89
4876263,Bennelong,NSW,ALP,49,Male,40-49
4997294,Bennelong,NSW,LNP,57,Female,50-59
4998774,Bennelong,NSW,LNP,36,Male,30-39
5194942,Bennelong,NSW,ALP,74,Male,70-79
5488670,Bennelong,NSW,LNP,49,Male,40-49
5622374,Bennelong,NSW,LNP,41,Female,40-49
5889880,Bennelong,NSW,ALP,86,Female,80-89
6104020,Bennelong,NSW,LNP,32,Female,30-39
6160879,Bennelong,NSW,LNP,64,Male,60-69
6485243,Bennelong,NSW,ALP,28,Female,20-29
6540406,Bennelong,NSW,Other,79,Female,70-79
6709332,Bennelong,NSW,Other,37,Female,30-39
6752837,Bennelong,NSW,ALP,48,Female,40-49
6762014,Bennelong,NSW,LNP,63,Female,60-69
6850918,Bennelong,NSW,ALP,58,Male,50-59
7009480,Bennelong,NSW,LNP,60,Female,60-69
7061671,Bennelong,NSW,LNP,52,Female,50-59
7139134,Bennelong,NSW,LNP,44,Female,40-49
7161536,Bennelong,NSW,LNP,58,Male,50-59
7701347,Bennelong,NSW,ALP,46,Male,40-49
8829164,Bennelong,NSW,LNP,82,Male,80-89
9150884,Bennelong,NSW,LNP,30,Female,30-39
3247631,Berowra,NSW,ALP,41,Male,40-49
3505219,Berowra,NSW,LNP,81,Male,80-89
3523226,Berowra,NSW,Other,44,Male,40-49
4334312,Berowra,NSW,LNP,70,Female,70-79
4460112,Berowra,NSW,LNP,64,Female,60-69
4521761,Berowra,NSW,ALP,81,Male,80-89
5228176,Berowra,NSW,ALP,72,Male,70-79
5251595,Berowra,NSW,Other,62,Male,60-69
5785661,Berowra,NSW,LNP,44,Female,40-49
5839523,Berowra,NSW,Other,63,Female,60-69
5871960,Berowra,NSW,ALP,47,Female,40-49
6129815,Berowra,NSW,ALP,65,Female,60-69
6150924,Berowra,NSW,LNP,73,Male,70-79
6226899,Berowra,NSW,LNP,82,Male,80-89
6231507,Berowra,NSW,LNP,54,Female,50-59
6465933,Berowra,NSW,ALP,22,Female,20-29
6539392,Berowra,NSW,LNP,22,Female,20-29
6686856,Berowra,NSW,LNP,53,Male,50-59
6712382,Berowra,NSW,LNP,43,Female,40-49
6725760,Berowra,NSW,Other,49,Male,40-49
6962432,Berowra,NSW,LNP,48,Male,40-49
7380559,Berowra,NSW,LNP,52,Male,50-59
7497292,Berowra,NSW,Other,21,Male,20-29
7900603,Berowra,NSW,Other,72,Male,70-79
8419124,Berowra,NSW,Other,46,Female,40-49
8523207,Berowra,NSW,Other,53,Female,50-59
8574535,Berowra,NSW,Other,18,Female,10-19
8802904,Berowra,NSW,LNP,42,Male,40-49
9010205,Berowra,NSW,ALP,56,Female,50-59
9413592,Berowra,NSW,ALP,18,Male,10-19
9519666,Berowra,NSW,LNP,62,Female,60-69
9773186,Berowra,NSW,LNP,28,Female,20-29
3206373,Blaxland,NSW,ALP,43,Male,40-49
3806e3,Blaxland,NSW,LNP,46,Female,40-49
4208360,Blaxland,NSW,LNP,58,Female,50-59
4367241,Blaxland,NSW,ALP,52,Male,50-59
4419613,Blaxland,NSW,ALP,44,Female,40-49
